Variable Name,Data Type,Non-Null Count,Unique Values,Sample Value
Country Name,object,266,266,Aruba
Country Code,object,266,266,ABW
Indicator Name,object,266,1,GDP growth (annual %)
Indicator Code,object,266,1,NY.GDP.MKTP.KD.ZG
1960,float64,0,0,N/A
1961,float64,142,138,0.460106039842898
1962,float64,150,148,7.8680125100649
1963,float64,150,147,5.61640005936856
1964,float64,150,147,4.66813529350271
1965,float64,150,147,5.13898951480421
1966,float64,155,150,4.82984559526898
1967,float64,159,157,5.37448094293651
1968,float64,161,159,4.15002447776169
1969,float64,161,158,5.079187699664
1970,float64,161,158,1.13727554366292
1971,float64,185,182,5.47391081946769
1972,float64,185,183,2.78954991342989
1973,float64,185,182,4.57752742964543
1974,float64,185,183,5.46856231047413
1975,float64,187,185,1.42517290641121
1976,float64,190,188,2.37526909062058
1977,float64,191,189,1.14153173539448
1978,float64,196,194,1.51679081367742
1979,float64,196,194,2.91615720049873
1980,float64,197,195,5.45735629413792
1981,float64,206,205,4.01698436148212
1982,float64,208,205,0.319585581254003
1983,float64,210,208,0.022638507736076
1984,float64,210,208,3.36659541560611
1985,float64,213,211,-0.115539889136656
1986,float64,214,213,2.26073311308348
1987,float64,216,213,16.0784313725487
1988,float64,220,218,18.6486486486489
1989,float64,221,219,12.1298405466969
1990,float64,223,221,3.96140172676478
1991,float64,242,239,7.96287174444331
1992,float64,242,240,5.88235395341866
1993,float64,243,241,7.30769324531406
1994,float64,243,241,8.20390129312089
1995,float64,244,243,2.54714368704694
1996,float64,245,244,1.18578851134656
1997,float64,245,244,7.04687499241221
1998,float64,247,245,1.99198444906199
1999,float64,247,246,1.2380418420716
2000,float64,247,245,7.62292064930222
2001,float64,248,246,4.1820016304779
2002,float64,248,247,-0.944953481157384
2003,float64,252,251,1.11050459944282
2004,float64,252,251,7.29372807096192
2005,float64,252,251,-0.383137672063768
2006,float64,252,251,1.12741146411624
2007,float64,253,252,3.0895443848509
2008,float64,253,251,1.83575517191368
2009,float64,256,254,-11.6777413693852
2010,float64,256,254,-2.73345679250639
2011,float64,256,255,3.36923718421511
2012,float64,256,255,-1.04079988436683
2013,float64,256,255,6.43148260418822
2014,float64,257,256,-1.58657513817235
2015,float64,257,255,-0.623625902371245
2016,float64,256,254,1.71962497989442
2017,float64,257,255,7.04853338603499
2018,float64,258,257,2.38173018636276
2019,float64,257,255,-2.3028363027198
2020,float64,257,256,-23.9825809597131
2021,float64,256,254,27.6393569688502
2022,float64,250,248,10.45831735343
2023,float64,233,231,2.62231040700607
Unnamed: 68,float64,0,0,N/A
