Variable Name,Data Type,Non-Null Count,Unique Values,Sample Value
Country Name,object,266,266,Aruba
Country Code,object,266,266,ABW
Indicator Name,object,266,1,GDP per capita (constant 2015 US$)
Indicator Code,object,266,1,NY.GDP.PCAP.KD
1960,float64,141,139,1169.16462440405
1961,float64,149,147,1144.10867010595
1962,float64,149,147,1201.30015748817
1963,float64,149,147,1234.7735975089
1964,float64,149,147,1257.12798595929
1965,float64,153,151,1285.22126431153
1966,float64,157,155,1310.42521861017
1967,float64,159,157,1342.84448819575
1968,float64,159,157,1359.40053348675
1969,float64,159,157,1388.2093456487
1970,float64,182,180,1364.27586273187
1971,float64,182,180,1398.19960348826
1972,float64,182,180,1397.0941624823
1973,float64,182,180,1419.81595153331
1974,float64,184,182,1454.03760972025
1975,float64,187,186,1432.05055381904
1976,float64,188,186,1423.78198943319
1977,float64,193,191,1399.66716767448
1978,float64,193,191,1379.34132183358
1979,float64,194,192,1376.31314902192
1980,float64,203,201,1409.62242984807
1981,float64,205,203,1423.29781939696
1982,float64,207,205,1384.501039324
1983,float64,207,205,1344.31299682734
1984,float64,210,208,1349.89594526607
1985,float64,211,209,1309.44201322457
1986,float64,213,211,16111.8431988896
1987,float64,217,215,18732.2638281266
1988,float64,218,216,22266.3448241593
1989,float64,220,218,24865.1774200949
1990,float64,239,237,25411.1681072329
1991,float64,239,238,26564.6616528519
1992,float64,240,238,27194.4145483227
1993,float64,240,238,28307.3771729305
1994,float64,241,239,29666.2309178735
1995,float64,242,240,29497.9635357808
1996,float64,242,240,28958.1438008495
1997,float64,244,242,30074.4062421339
1998,float64,244,242,29765.5151656038
1999,float64,244,242,29262.6158770092
2000,float64,246,244,30703.6611910797
2001,float64,246,244,31426.8787422126
2002,float64,250,248,30760.2075543168
2003,float64,250,248,30793.1349648149
2004,float64,250,248,32742.76074691
2005,float64,250,248,32291.7695371212
2006,float64,251,249,32272.2511892054
2007,float64,251,249,32863.3627835216
2008,float64,254,252,33053.7675856288
2009,float64,255,253,28836.0174766105
2010,float64,255,253,27732.2139052929
2011,float64,256,254,28398.5575774698
2012,float64,255,253,27876.2063962026
2013,float64,256,254,29447.5799994559
2014,float64,256,254,28780.6308574466
2015,float64,258,256,28419.2645344661
2016,float64,255,253,28737.8964851926
2017,float64,255,253,30598.6490228535
2018,float64,255,253,31172.8025129725
2019,float64,254,252,30317.6073875484
2020,float64,254,252,23015.7420450767
2021,float64,253,251,29390.3809530373
2022,float64,248,246,32492.1788775214
2023,float64,233,231,1445.80112832401
Unnamed: 68,float64,0,0,N/A
